tSNE1,tSNE2
-12.885055,5.0961647
-13.4458885,5.119052
-14.03011,5.201087
-13.221477,5.0710096
-13.841615,5.1578484
-13.670151,5.133546
-12.944322,5.039528
-13.435131,5.0936713
-12.864175,5.0144663
-13.75442,5.1305566
-13.584922,5.0855775
-9.31213,6.3283086
-12.058413,4.8847775
-12.475674,4.905661
-11.312637,4.8702574
-12.231887,4.8648357
-12.502019,4.866203
-8.934484,6.611332
-10.917065,4.75779
-10.93921,4.7494307
-11.187404,4.72558
-10.994691,4.676998
-10.58261,4.710212
-11.073295,4.660261
-10.957328,4.6546774
-10.067055,4.811459
-10.753159,4.6634746
-10.0416355,4.789365
-9.363963,5.022122
-10.518479,4.5736427
-10.390184,4.5774593
-10.215137,4.573237
-9.271215,4.8737826
-9.165589,4.836216
-9.836086,4.598123
-9.590978,4.637651
-9.223294,4.7198505
-9.108726,4.7382245
-8.627713,4.968519
-9.00338,4.7398915
