MDS1,MDS2
1257.399270679766,-1466.928292246352
1237.1004415955824,-1448.7189340406132
1237.1579840870418,-1448.7867647411272
1238.3711103000715,-1344.2401267190542
1237.0276273761847,-1384.8260812211088
1229.6567789151948,-1518.513667725871
1218.0478169312419,-1458.9182900726435
1200.5561383887484,-1419.9008326607416
1199.237446477547,-1435.2914574479742
1178.304347739086,-1347.0406955475428
1176.5672881475293,-1449.2477703318377
1166.3787412460404,-1315.2729265871847
1148.3353914520908,-1382.7837990911396
1151.965976792111,-1352.2892904399137
1155.4569583148866,-1272.09746082984
1143.265690758025,-1320.5019914218726
1143.4491414788395,-1354.0422997755015
1152.02529255312,-1380.612403881858
1140.6856742056818,-1336.8752456368331
1122.5864313703169,-1314.1016824984013
1117.836134757584,-1363.4385533958653
1125.6130396249384,-1317.158004715333
-1604.7464939857446,-1085.3949209411526
1107.4006245034473,-1124.444835118914
1098.9592755236583,-1216.352552345939
1090.2576177626624,-1330.2635910791091
1076.2713561837759,-1308.6815657537925
1077.0983928749401,-1223.2478540364746
1065.7457791856068,-1342.3571222865992
1103.108629511621,-709.0742628871654
1075.1231661269221,-1283.5198422582844
1066.8832095102557,-1275.6961633702113
1040.3678262264016,-1263.919746738682
1015.7800961318137,-1264.9407850813284
1011.9767606423173,-1188.2900950803578
995.7286680905706,-1181.7864296801854
994.5144590102735,-1205.5150125570965
981.1545282962134,-1240.8022995022318
987.6715322343198,-983.0967333778972
975.2709210176347,-1199.8232490871915
978.2576678381645,-999.792263908158
958.7683976407491,-1163.3832413929404
961.2889008313834,-1048.4013224798728
959.3797095114031,-1083.8907223238577
968.4860196490607,-904.2419044306703
955.4395623115677,-1083.5992923401043
949.2832072093455,-1095.5054640417789
951.451584063588,-1106.7611026821671
938.2987016533514,-1052.5013482499362
938.3767408858121,-1056.188405050862
934.5573344717504,-1114.0384759798578
919.5880651413568,-1078.2881958327978
920.6574091853412,-1098.9406908697497
912.2150437767034,-1177.9807990444779
911.7520501285696,-1085.1270700186778
912.8993703615748,-1089.7557374027988
905.6924010079346,-1193.1225111049312
897.7231597790337,-1110.5668067002157
896.4256091857959,-1046.8642353098717
880.3192917760845,-1104.234589364278
878.2153748086705,-1091.0124702787077
881.4955650499123,-849.70597543452
868.8199339357482,-1055.0424686450933
843.406054637649,-1013.4659513692326
831.1677773061466,-1059.9696965719013
828.6459078946458,-1010.4613794336125
812.3430202058153,-1044.4207923193155
801.4628420887752,-954.2457545951154
803.2639414108188,-946.1243184857885
799.2914993523389,-876.4673992332889
796.1053937816625,-967.542606586308
777.2865291357663,-932.1955110645746
779.961945236915,-913.0067715592653
773.6802639913681,-1017.1871982241022
768.3013963012161,-957.9556858915995
765.186198720096,-921.2894115163278
763.6995630671603,-939.439338833725
754.6288648392441,-905.9936475430469
748.6780355259849,-905.5965289203799
677.4054219156743,-878.2467902401758
673.2438919171941,-867.8263540121842
742.6267306318257,-904.3294184541883
733.0602700759551,-877.0245221134903
727.7796472001907,-887.2725504401822
726.1576623848697,-867.2001967399224
724.3926841503476,-869.6486908408745
722.6175913971734,-872.1559810952303
717.5274931341183,-740.4289384131745
706.849552990969,-786.3384002925804
706.993192024606,-816.2124791562208
714.8559459394702,-865.7685895162741
656.5702049271595,-817.6924444727928
696.8271545514834,-835.517428474867
689.1785466998174,-823.3053793869382
682.4895982793432,-835.7629353508768
